Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit
ORD-1001,14-09-2022,16-09-2022,CUST-63,PROD-36,44507,4,0.07,3561
ORD-1002,23-03-2024,28-03-2024,CUST-129,PROD-48,5623,3,0.2,-245
ORD-1003,16-06-2023,20-06-2023,CUST-107,PROD-19,42250,8,0.19,1690
ORD-1004,02-07-2023,04-07-2023,CUST-35,PROD-22,46939,2,0.2,2346.95
ORD-1005,08-06-2024,10-06-2024,CUST-154,PROD-34,47029,9,0.17,940.58
ORD-1006,24-04-2022,26-04-2022,CUST-139,PROD-11,9346,8,0.26,1028.06
ORD-1007,28-08-2023,02-09-2023,CUST-122,PROD-24,15782,3,0.15,0
ORD-1008,06-05-2023,09-05-2023,CUST-129,PROD-34,21254,8,0.26,2337.94
ORD-1009,10-10-2023,15-10-2023,CUST-156,PROD-6,1336,10,0.03,160.32
ORD-1010,02-04-2024,06-04-2024,CUST-178,PROD-5,9472,8,0.28,1231.36
ORD-1011,19-08-2022,23-08-2022,CUST-99,PROD-31,715,2,0.09,2242.9
ORD-1012,02-05-2024,05-05-2024,CUST-186,PROD-1,1155,7,0.13,-23.1
ORD-1013,21-04-2022,23-04-2022,CUST-117,PROD-6,37304,10,0.1,1865.2
ORD-1014,06-02-2023,10-02-2023,CUST-129,PROD-6,22709,2,0.07,1816.72
ORD-1015,01-03-2023,06-03-2023,CUST-153,PROD-31,49669,8,0.12,1490.07
ORD-1016,12-07-2022,16-07-2022,CUST-170,PROD-24,27476,8,0.02,3571.88
ORD-1017,04-11-2022,08-11-2022,CUST-165,PROD-37,7948,5,0.19,317.92
ORD-1018,20-08-2022,22-08-2022,CUST-85,PROD-15,21253,5,0.21,1275.18
ORD-1019,31-12-2024,02-01-2025,CUST-86,PROD-18,48259,10,0.06,4343.31
ORD-1020,11-03-2024,13-03-2024,CUST-128,PROD-21,15963,10,0.1,798.15
ORD-1021,06-08-2024,11-08-2024,CUST-196,PROD-18,47964,2,0.3,7194.6
ORD-1022,09-10-2024,11-10-2024,CUST-161,PROD-10,49272,10,0.29,6898.08
ORD-1023,28-11-2024,03-12-2024,CUST-38,PROD-37,48909,8,0.16,489.09
ORD-1024,28-09-2023,03-10-2023,CUST-184,PROD-36,27466,1,0.21,1647.96
ORD-1025,10-09-2023,13-09-2023,CUST-18,PROD-47,5310,1,0.12,-159.3
ORD-1026,14-09-2022,18-09-2022,CUST-113,PROD-21,1954,6,0.15,0
ORD-1027,19-06-2023,22-06-2023,CUST-79,PROD-26,2498,5,0.05,249.8
ORD-1028,27-09-2023,01-10-2023,CUST-139,PROD-37,26789,10,0.04,2946.79
ORD-1029,29-12-2023,02-01-2024,CUST-122,PROD-4,43011,8,0.05,4301.1
ORD-1030,28-08-2022,31-08-2022,CUST-142,PROD-8,17260,5,0.27,2071.2
ORD-1031,08-07-2024,11-07-2024,CUST-20,PROD-31,40801,5,0.13,816.02
ORD-1032,14-04-2023,18-04-2023,CUST-113,PROD-35,35443,1,0.09,2126.58
ORD-1033,25-12-2023,30-12-2023,CUST-161,PROD-39,907,4,0.15,0
ORD-1034,10-01-2023,12-01-2023,CUST-66,PROD-47,23710,10,0.29,3319.4
ORD-1035,23-09-2024,25-09-2024,CUST-69,PROD-32,32151,4,0.03,3858.12
ORD-1036,29-04-2024,02-05-2024,CUST-132,PROD-42,35177,7,0.19,1407.08
ORD-1037,19-04-2024,24-04-2024,CUST-126,PROD-19,1238,2,0.01,173.32
ORD-1038,28-02-2024,03-03-2024,CUST-57,PROD-36,30511,8,0.19,1220.44
