Return_ID,Order_ID,Return_Status
RET-1,ORD-2823,Returned
RET-2,ORD-2889,Returned
RET-3,ORD-2282,Returned
RET-4,ORD-1603,Returned
RET-5,ORD-2227,Returned
RET-6,ORD-1805,Returned
RET-7,ORD-1675,Returned
RET-8,ORD-2285,Returned
RET-9,ORD-1030,Returned
RET-10,ORD-2377,Returned
RET-11,ORD-1664,Returned
RET-12,ORD-2188,Returned
RET-13,ORD-2744,Returned
RET-14,ORD-2200,Returned
RET-15,ORD-1403,Returned
RET-16,ORD-2694,Returned
RET-17,ORD-2578,Returned
RET-18,ORD-2454,Returned
RET-19,ORD-1756,Returned
RET-20,ORD-1097,Returned
RET-21,ORD-2014,Returned
RET-22,ORD-1222,Returned
RET-23,ORD-2149,Returned
RET-24,ORD-1096,Returned
RET-25,ORD-1073,Returned
RET-26,ORD-1100,Returned
RET-27,ORD-1611,Returned
RET-28,ORD-2105,Returned
RET-29,ORD-1057,Returned
RET-30,ORD-2753,Returned
RET-31,ORD-1345,Returned
RET-32,ORD-1571,Returned
RET-33,ORD-2694,Returned
RET-34,ORD-1218,Returned
RET-35,ORD-1502,Returned
RET-36,ORD-1474,Returned
RET-37,ORD-1143,Returned
RET-38,ORD-2517,Returned
RET-39,ORD-2822,Returned
RET-40,ORD-2106,Returned
RET-41,ORD-1696,Returned
RET-42,ORD-1045,Returned
RET-43,ORD-1039,Returned
RET-44,ORD-1964,Returned
RET-45,ORD-1513,Returned
RET-46,ORD-1912,Returned
RET-47,ORD-1650,Returned
RET-48,ORD-1950,Returned
RET-49,ORD-2607,Returned
RET-50,ORD-1694,Returned
RET-51,ORD-1316,Returned
RET-52,ORD-2883,Returned
RET-53,ORD-2843,Returned
RET-54,ORD-1782,Returned
RET-55,ORD-2654,Returned
RET-56,ORD-1240,Returned
RET-57,ORD-2001,Returned
RET-58,ORD-2021,Returned
RET-59,ORD-1349,Returned
RET-60,ORD-2239,Returned
RET-61,ORD-2239,Returned
RET-62,ORD-2526,Returned
RET-63,ORD-1215,Returned
RET-64,ORD-2024,Returned
RET-65,ORD-1927,Returned
RET-66,ORD-1425,Returned
RET-67,ORD-2312,Returned
RET-68,ORD-2618,Returned
RET-69,ORD-2952,Returned
RET-70,ORD-2888,Returned
RET-71,ORD-2502,Returned
RET-72,ORD-2367,Returned
RET-73,ORD-2294,Returned
RET-74,ORD-2608,Returned
RET-75,ORD-1705,Returned
RET-76,ORD-1956,Returned
RET-77,ORD-1953,Returned
RET-78,ORD-1477,Returned
RET-79,ORD-2407,Returned
RET-80,ORD-2659,Returned
RET-81,ORD-1525,Returned
RET-82,ORD-2766,Returned
RET-83,ORD-1278,Returned
RET-84,ORD-2432,Returned
RET-85,ORD-1821,Returned
RET-86,ORD-1866,Returned
RET-87,ORD-2607,Returned
RET-88,ORD-1901,Returned
RET-89,ORD-1903,Returned
RET-90,ORD-2107,Returned
RET-91,ORD-2492,Returned
RET-92,ORD-2485,Returned
RET-93,ORD-2188,Returned
RET-94,ORD-1633,Returned
RET-95,ORD-1658,Returned
RET-96,ORD-1722,Returned
