Ship_ID,Order_ID,Ship_Mode,Shipping_Cost
SHIP-1,ORD-1001,Express,332
SHIP-2,ORD-1002,Standard,55
SHIP-3,ORD-1003,Express,52
SHIP-4,ORD-1004,Standard,307
SHIP-5,ORD-1005,Standard,142
SHIP-6,ORD-1006,Express,128
SHIP-7,ORD-1007,Standard,82
SHIP-8,ORD-1008,Standard,322
SHIP-9,ORD-1009,Express,192
SHIP-10,ORD-1010,Express,113
SHIP-11,ORD-1011,Standard,424
SHIP-12,ORD-1012,Standard,253
SHIP-13,ORD-1013,Express,173
SHIP-14,ORD-1014,Standard,295
SHIP-15,ORD-1015,Standard,452
SHIP-16,ORD-1016,Express,483
SHIP-17,ORD-1017,Standard,154
SHIP-18,ORD-1018,Standard,332
SHIP-19,ORD-1019,Standard,194
SHIP-20,ORD-1020,Standard,481
SHIP-21,ORD-1021,Standard,401
SHIP-22,ORD-1022,Express,368
SHIP-23,ORD-1023,Standard,126
SHIP-24,ORD-1024,Express,409
SHIP-25,ORD-1025,Standard,204
SHIP-26,ORD-1026,Express,56
SHIP-27,ORD-1027,Standard,493
SHIP-28,ORD-1028,Standard,341
SHIP-29,ORD-1029,Express,222
SHIP-30,ORD-1030,Express,171
SHIP-31,ORD-1031,Standard,74
SHIP-32,ORD-1032,Standard,404
SHIP-33,ORD-1033,Standard,122
SHIP-34,ORD-1034,Express,166
SHIP-35,ORD-1035,Express,359
SHIP-36,ORD-1036,Standard,247
SHIP-37,ORD-1037,Express,251
SHIP-38,ORD-1038,Express,399
SHIP-39,ORD-1039,Express,222
SHIP-40,ORD-1040,Express,68
SHIP-41,ORD-1041,Express,488
SHIP-42,ORD-1042,Express,247
SHIP-43,ORD-1043,Standard,128
SHIP-44,ORD-1044,Standard,229
SHIP-45,ORD-1045,Standard,499
SHIP-46,ORD-1046,Standard,242
SHIP-47,ORD-1047,Standard,208
SHIP-48,ORD-1048,Express,454
SHIP-49,ORD-1049,Express,136
SHIP-50,ORD-1050,Express,165
SHIP-51,ORD-1051,Express,374
SHIP-52,ORD-1052,Standard,397
SHIP-53,ORD-1053,Standard,293
SHIP-54,ORD-1054,Express,331
SHIP-55,ORD-1055,Express,162
SHIP-56,ORD-1056,Standard,98
SHIP-57,ORD-1057,Standard,169
SHIP-58,ORD-1058,Standard,199
SHIP-59,ORD-1059,Express,402
SHIP-60,ORD-1060,Express,112
SHIP-61,ORD-1061,Standard,332
SHIP-62,ORD-1062,Standard,419
SHIP-63,ORD-1063,Express,341
SHIP-64,ORD-1064,Express,98
SHIP-65,ORD-1065,Express,50
SHIP-66,ORD-1066,Express,308
SHIP-67,ORD-1067,Standard,282
SHIP-68,ORD-1068,Standard,399
SHIP-69,ORD-1069,Express,143
SHIP-70,ORD-1070,Standard,454
SHIP-71,ORD-1071,Standard,64
SHIP-72,ORD-1072,Express,476
SHIP-73,ORD-1073,Express,99
SHIP-74,ORD-1074,Express,171
SHIP-75,ORD-1075,Standard,474
SHIP-76,ORD-1076,Standard,226
SHIP-77,ORD-1077,Standard,221
SHIP-78,ORD-1078,Standard,260
SHIP-79,ORD-1079,Standard,471
SHIP-80,ORD-1080,Express,272
SHIP-81,ORD-1081,Express,256
SHIP-82,ORD-1082,Express,130
SHIP-83,ORD-1083,Standard,64
SHIP-84,ORD-1084,Express,211
SHIP-85,ORD-1085,Express,146
SHIP-86,ORD-1086,Express,135
SHIP-87,ORD-1087,Standard,118
SHIP-88,ORD-1088,Express,194
SHIP-89,ORD-1089,Express,367
SHIP-90,ORD-1090,Standard,306
SHIP-91,ORD-1091,Express,188
SHIP-92,ORD-1092,Express,117
SHIP-93,ORD-1093,Express,458
SHIP-94,ORD-1094,Standard,138
SHIP-95,ORD-1095,Standard,353
SHIP-96,ORD-1096,Express,165
SHIP-97,ORD-1097,Express,490
SHIP-98,ORD-1098,Express,199
SHIP-99,ORD-1099,Standard,149
SHIP-100,ORD-1100,Express,193
SHIP-101,ORD-1101,Standard,389
SHIP-102,ORD-1102,Standard,400
SHIP-103,ORD-1103,Express,317
SHIP-104,ORD-1104,Express,176
SHIP-105,ORD-1105,Express,434
SHIP-106,ORD-1106,Express,454
SHIP-107,ORD-1107,Express,244
SHIP-108,ORD-1108,Express,481
SHIP-109,ORD-1109,Standard,97
SHIP-110,ORD-1110,Standard,307
SHIP-111,ORD-1111,Standard,463
SHIP-112,ORD-1112,Standard,374
SHIP-113,ORD-1113,Express,450
SHIP-114,ORD-1114,Standard,199
